;Tomita 4;;;;;;;
;Regular expressions;;;;Regular grammars;;;
Run;Elapsed time (ms);Score;Generation;Result;Elapsed time (ms);Score;Generation;Result
1;10325;0,776;50;(((b*|(b|a))b*)((a|((ba)(((b|a)|b)|a)))|((ab)|(a|(b(ba)))))*);137805;1,000;14;"B = 'a'A|'a'B|epsilon|'b'C|'a'|'b'A;
C = 'a'B|'a'C;
A = epsilon|'a'C|'b'|'b'C;"
2;23476;1,000;48;(((b|a)|(a((a|(ab))|a))*)(((((a(b|a))+|(ba)*)|(((ba)((b|(a(a|b)))|((b|a)|a)))|a)*)(b|((a*|(a|(a(ba))))(b|(a|((a((b|a)a))|((((a(b|(a|b)))(a|b))|((ba)|a))|((((b|a)a)(b|a))|a))*))))))|a*));365513;1,000;29;"B = 'a'A|'a'B|epsilon|'b'|'b'C|'b'A;
A = 'a'B|'a'C|'b'|'b'C;
C = 'a'B|epsilon|'a'C;"
3;10985;0,852;50;(a|((((ab)|(a|(ba)))|(((b|a)(ba))|a))((a|b)|b)))*;106093;1,000;11;"A = 'a'A|'a'B|epsilon|'a'C|'b'|'b'C|'b'B;
C = 'a'B|'b'|'b'B;
B = 'a'A|'a'B;"
4;30101;0,990;30;((a+|((((((b(b|a))|b)a)|a)*b?)b?))(a*|((((b|(a|b))|a)|b)a)));47673;1,000;7;"C = 'a'A|'a'B|epsilon|'a'C|'b'|'b'B|'a'|'b'A;
B = 'a'C;
A = 'a'A|'b'|'b'B|'a';"
5;26669;0,944;50;(b?(b?|(b?(((a+b?)((b?(b?(((a+((((a*b?)a?)b?)|(b?|(a?(ba)))))((a*b?)(b?(b|a))))(((((b|a)|a)|b)|b*)|(a|b)))))|(((b|a)?|b)|(b?(b|a)))))((b?|(((b|a)b?)((((a|b)a)b)b)*))|(b|(ba))*)))));88527;1,000;10;"B = 'a'B|epsilon|'b'|'b'C|'b'A;
A = epsilon|'a'C|'b'|'b'C;
C = 'a'A|'a'B|epsilon;"
6;91479;0,944;50;(((a|((ba)b))|((a|(b((a|(ba))|a)))(((b(a|(b|a)))|(a|b))|(ba))))|(((((a|((ab)(b(ba))))(ba))((b|a)|(a(ba))))|(ab))|((((((ba)|(((a|b)b)|b))|((b|a)b))|b)|(ba))a)))*;194093;1,000;17;"A = 'a'A|epsilon|'b'C|'b'B;
B = 'a'B|epsilon|'b'|'b'C;
C = 'a'A|epsilon|'a'C;"
7;9320;0,725;50;((a|(ba))+(a|b)*);601521;0,930;50;"C = 'a'A|'b'A;
B = 'a'A|'a'B|epsilon|'a'C;
A = 'a'A|epsilon|'a'C|'b'B|'a';"
8;9679;0,780;50;(((((ba)|a+)|(ba)+)(a|b)*)|b*);111527;1,000;11;"B = 'a'B|epsilon|'a'C|'b'|'b'C|'a';
C = 'a'A|'a'B|'a'|'b'A;
A = 'a'A|'a'B|epsilon|'a';"
9;9530;0,780;50;((a+(a|b)*)|(b*|((ba)(a|b)*)));298367;1,000;24;"A = 'a'A|epsilon|'b'C|'b'B;
C = 'a'A|epsilon|'a';
B = 'a'C|'b'C|'a';"
10;147149;0,980;50;(((a(b|((b|a)|(((a|b)|((b|((b|a)(ba)))|a))(ab)))))(b|((b|a)(((a|((b|((a(b|(b(a|b))))b))|(b|a)))(b|(b|(ba))))((b|(((((a|b)|(b|((a|b)b)))|(b(a|b)))((((a((ba)a))(a|b))|((b|a)a))|a))b))((a(b|(b|(b((b|(b|a))|a)))))((a(b|(((ba)a)|((b|a)b))))a)))))))*(((b|((b|a)b))a)*((a*(b?|((a(b|(a|b)))(b|a))))((b|a)|(((a(a|(b|(a(b|((b|a)b))))))*((((a|(ab))|((ba)(b|((b|a)|(ab)))))((ba)(b|a)))*((a*(b?|((ba)(b|a))))(((a(a|b))(b|(a|b)))*|((a(((b(a|b))|b)|((a|b)|(b|a))))|a)))))|a)))));51156;1,000;7;"B = 'a'A|'a'B|epsilon|'a'C|'b'|'b'C|'a'|'b'A;
C = 'a'A|'a'B|epsilon;
A = epsilon|'b'C;"
Highest;147149;1,000;50;;601521;1,000;50;
Lowest;9320;0,725;30;;47673;0,930;7;
Avg;36871;0,877;48;;200228;0,993;18;
Best result;30101;0,99;30;((a+|((((((b(b|a))|b)a)|a)*b?)b?))(a*|((((b|(a|b))|a)|b)a)));298367;1,000;24;"A = 'a'A|epsilon|'b'C|'b'B;
C = 'a'A|epsilon|'a';
B = 'a'C|'b'C|'a';"
;;;;;;;;
